,question,answer
26793,مضطرب و نگران شدن,جان به سر
26794,شیپور و کرنا,بوق
26796,پلیس بین الملل,اینترپل
26798,جنگجو و مبارز,رزمجو
26799,کرانه آسمان,افق
26800,عضو فعال,دست
26802,هواپیمای عجول,جت
26803,جای محبت,قلب
26804,حرکتی در کاراته,هانت
26806,نام یکی از نجبای ایران که پدربزرگ بهرام چوبین باشد,گشسب
26807,از مخترعین رادیو,تسلا
26808,شکوه,فر
26809,مکر و حیله,دها
26812,نت آخر,سی
26815,دریاچه ای در کانادا,هورن
26816,جذام,آکله
26817,شهری در فارس,اوز
26818,بی مانند و بی همتا,بیتا
26822,وقت فعالیت,روز
26823,واحد شمارش پارچه,توپ
26828,پارچه فروش,بزاز
26841,از گیاهان دارویی,رازیانه
26843,ترکیدن بمب,انفجار
26844,ماده روغنی که از نفت استخرج می شود,وازلین
26849,موج,خیزاب
26855,خوشحال,شادمان
26857,فکر و نظر,ایده
26858,از معروف ترین شهرهای تاریخی برجای مانده از دوران ساسانیان در استان فارس,بیشاپور
26861,فیلمی از یدا... صمدی,سارای
26864,قطعی‌شده,مسجل
26868,از فرشتگان مقرب الهی,میکائیل
26872,مغایرت و اختلاف,دوگانگی
26874,بردنی عروس به خانه‌بخت,جهاز
26879,ازدحام,شلوغی
26884,ویژگی گیاه یا مویی که بسیار نزدیک‌به‌هم روییده باشد,پرپشت
26886,مجموعه طنزی از مهران مدیری,هیولا
26888,آرام گرفتن,سکون
26892,فریاد,جیغ
26897,شکایت کردن,گله گزاری
26902,کسانی که در جایی ساکن شده‌اند,سکنه
26904,حادثه و اتفاق و رویداد,ماجرا
26911,صفت باد,وزان
26917,فراوان و بی‌نهایت,بی‌شمار
26923,فیلمی از شهرام‌اسدی,اوینار
26934,از خدمات الکترونیکی ارائه شده در بانک ها,همراه بانک
26948,دارای نشان و علامت,نشان دار
26949,بسیار متکبر,پر افاده
26950,ایالتی با مرکز ساکرامنتو,کالیفرنیا
26952,يکي از گوشه هاي دستگاه سه گاه,رنگ اصول
26957,تحمل رنج و مشقت,ریاضت
26958,آمارگیر,محاسب
26975,مرکز ايالت ميشيگان,لانسینگ
26977,سردار آلمانی ملقب به روباه صحرا,مارشال رومل
26985,مایه خنده,مضحکه
26986,ماده قندی در اغلب میوه‌ها,گلوکز
26990,اهل شهر ساری,ساروی
26992,ماهی کنسروی,ساردین
26994,بازیگر سریال دراکولا,لیلا بلوکات
26995,گونه‌ای بارش,تگرگ
26996,ناچار و ناگزیر,مجبور
26999,خبرنگار,مخبر
27001,زیرکی و زرنگی,رندی
27003,بدهی,وام
27006,کابوس,بختک
27007,سرحد,مرز
27008,میان شانه و آرنج دست,بازو
27009,نوعی مدل ماشین سنگین,ماک
27010,محو کردن,امحا
27011,نوعی مدل تلویزیون,ال سی دی
27015,قرص روان گردان,اکس
27020,تک رو,یکه رو
27022,دلپذیر و خوشایند,مطبوع
27027,حلال شرعی,مباح
27032,پیمان ناقلا,ناتو
27034,سند و دلیل,مدرک
27036,دشوار و ناگوار,وخیم
27037,بخش نرم جمجمه نوزاد,ملاج
27039,نوعی تنگ سفالی,کماس
27042,سخن زشت و درشت,رکیک
27045,چرک و آلوده شدن جامه,دنس
27046,عبادت ماه رمضان,روزه
27047,مهماندار,میزبان
27051,وسیله خیاطی,سوزن
27062,نخود,حمص
27072,بی‌تجربگی,ناشیگری
27073,هماهنگی,انسجام
27074,از واکسن‌های ضد کرونا ساخته شده کشور هندوستان,کوواکسین
27082,خالص و بی غش گردیدن,صراحت
27090,جنگ ساسانیان با امپراطوری روم شرقی,آناستازی
27091,یکی از بهترین دوران قبل از عروسی,نامزدی
27092,قسمتی از بدن انسان,شکم
27094,نژادی از فارسی زبانان,تات
27095,زن بابا,نامادری
27097,نام پسر کیقباد,آرمین
27099,زبان تازی,لسان
27100,طایفه,ایل
27102,نوعی پیشوند فعل ماضی,می
27106,از بیماری ها,ابله
27107,صندلی اسب,زین
27109,شهری در ایالت آریزونای آمریکا,میزا
27111,مرکز استان مازندران,ساری
27113,سیخ آهنی,یوک
27114,هر یک از اعضای مجلس شورای اسلامی ایران,نماینده
27117,به خوبی پخته شدن غذا,جا افتادن
27118,داوطلب انتخاباتی,کاندیدا
27120,پشت سر هم,متوالی
27121,شیپور بزرگ,کرنا
27123,کالباس خشک,سالامی
27124,قطب مثبت باطری,آند
27126,میان,لا
27127,شگرد و تکنیک,لم
27128,قدم  یک پا,لی
27130,متورم,آماسیده
27131,پول فلزی,سکه
27132,نوعی لباس زمستانی,بارانی
27135,رب النوع مصری,ازیریس
27136,لوله گوارشی,مری
27137,فلز نقره ای و سبک,منیزیوم
27138,از ایالت های غرب میانه آمریکا,ایندیانا
27140,به گرمابه رفتن,استحمام
27141,معادل فارسی کاتالوگ,کالانما
27145,به هم ساییده‌شده,مماس
27149,دریایی,بحری
27157,وضع حمل,زایمان
27158,فیلمی از پارولینی,ساباتا
27159,کار بی‌مزد و اجرت,سخره
27163,کارگردان هزاردستان,حاتمی
27166,پناه دهنده,مجیر
27169,خدای‌آسمان هندوها,ایندرا
27170,مانند شدن,مانستن
27171,حفر کردن,کندن
27173,تبدیل گاز به ماده جامد,چگالش
27174,ماه شروع مدارس,مهر
27178,ناز و کرشمه,غنج
27179,بت و صنم,بغ
27181,درون,تو
27182,نهر,جوی
27183,شتابنده,عاجل
27185,اختیاری نیست,جبری
27186,جایگاه زور,بازو
27187,گودال,لان
27188,برکه,غب
27189,نخستین پادشاه مغول شیعه,خدابنده
27191,حدید,آهن
27192,تاخت و تاز,یورش
27195,از شهرهای استان یزد,تفت
27198,سامان دادن,تمشیت
27199,از شهرهای استان همدان,برزول
27200,جای وزش باد,مهب
27203,لولای دست,آرنج
27206,آلبومی از سینا سرلک,موج سودا
27207,شالوده,آس
27209,دست آموز,اهلی
27210,مطرب,مغنی
27211,محصولات شیر,لبنی
27212,سخن بیهوده,چرند
27215,نتیجه گرفتن از بحث ها و استدلال ها,جمع بندی
27218,خوش اندام,هوتن
27221,اصلاح کردن جامه,رفو
27222,ابزار بنایی,شاغول
27223,افزون تر,بیشتر
27224,مولد برق,ژنراتور
27226,گرانمایه,فاخر
27238,ایراد و بهانه,دستاویز
27245,کلاه مردمان مصری,فینه
27254,از فیلم‌های محمدحسین لطیفی,روز سوم
27255,خیاط,درزی
27258,اثری از علامه امینی,الغدیر
27259,خودروی حمل کالا,باری
27260,بهره,سهم
27264,سخن بی معنی,جفنگ
27267,خواری,ذلت
27268,زبان مردم پاکستان,اردو
27269,زور و قوت,نیرو
27271,سبزی سالاد,کاهو
27273,سمت و پست,مقام
27276,کشور هزار خلیج,نروژ
27278,ماهر,وارد
27279,گاز جوشکاری,استیلن
27280,استیل,سبک
27281,نوعی فعل مضارع,التزامی
27283,کشوری در شبه جزیره هند و چین,لائوس
27284,ایزد,آله
27287,آواز,نغمه
27288,مبارزه,رزم
27292,همنشین چای,قند
27293,سرگشته,گیج
27296,مایملک و ثروت ها,اموال
27297,کشتی,سفینه
27301,گنجشک,تز
27303,راه و جاده,گذر
27305,آلوده و کثیف,چرک
27306,سرزنش,لوم
27307,شکیبایی,حلم
27308,زغال سنگ نیمه مرغوب,لینیت
27310,جستجو و تجسس,استکشاف
27316,از میوه‌ها,شلیل
27334,سرزمین چای بود,سیلان
27340,اهل فلسفه,فیلسوف
27344,قسمتی از دوربین,لنز
27345,رود جاری در فارس و بوشهر,دالکی
27348,شهری در استان قم,کهک
27355,درخت خرما,نخل
27359,از متوفی به جا می‌ماند,ارث
27362,نام قدیم قندهار,نادرآباد
27365,اثري از مهدي اعتمادي,گلبانو
27369,بدجنسی,خباثت
27372,کاخ معروف فرانسه,الیزه
27374,سپاسگزاری,تشکر
27376,هنرپیشه زن,آکتریس
27378,طایفه ای از تاتار,ازبک
27379,اسیدی در معده انسان,کلریدریک
27382,گیاهی گرمسیری با برگ‌های باریک,سنا
27383,جمع درس,دروس
27387,سوغات زنجان,چاقو
27388,پرنده سیاه,کلاغ
27395,از کشورهای آمریکای مرکزی,بلیز
27400,نامتوازن کار کردن موتور ماشین,ریپ
27402,مهیا برای سفر,پا در رکاب
27403,از پادشاهان اشکانی,بلاش
27404,نام قدیم مدینه,یثرب
27407,گودال,چال
27410,نشان,سراغ
27416,اثر طبیعی فیروزکوه,تنگه واشی
27419,دست و پاچلفتی,بی دست و پا
27420,اداره آگاهی‌سابق,تامینات
27422,از هالوژنها,برم
27426,سنجش,قیاس
27427,از فرهنگ‌های لغت فارسی,معین
27428,شهری در استان آذربایجان غربی,نقده
27433,مخالف کوچک,بزرگ
27434,گل شهیدان,لاله
27441,ایالتی در آمریکا,نیوجرسی
27442,کشتی معروف,تایتانیک
27445,فیلمی از مسعود کیمیایی,قاتل اهلی
27450,کارزار، جنگ,وقعه
27451,قطعه ای از مصالح ساختمانی,بلوک
27454,گناه و جرم,بزه
27456,مدینه فاضله,آرمان شهر
27457,مردمان,آناس
27459,فیلمی به کارگردانی محمدرضا هنرمند,مرگ دیگری
27464,دشوار,شاق
27475,کشوری آسیایی و عربی,کویت
27478,مقطع فوق‌دیپلم,کاردانی
27479,تابناک,درخشان
27480,افیون و تریاک,نارکوک
27481,مربوط به روز,روزانه
27482,کشوری در همسایگی فرانسه,آندورا
27487,پایتخت بحرین,منامه
27493,معلق,آویزان
27494,مهمان ناخوانده,ایرمان
27497,پرورش حیوانات اهلی,دامداری
27504,شهری در استان مرکزی,ساوه
27505,تخته سپید,وایت برد
27513,صندوق لباس,جامه دان
27529,پریشان شدن,برهم خوردن
27537,القا,تلقین
27538,کثرت آمد و شد,روارو
27554,سرپرست کارگران,استادکار
27562,نام کوچک گاگارین اولین فضانورد,یوری
27563,کوهان شتر، مغز حرام,سلیل
27564,لشکرها، سپاهیان,اجناد
27566,همراهان شخص صاحب نام,موکب
27572,شهري در چهارمحال و بختياري,سورشجان
27580,پسین,آخری
27581,توضيح ندارد,گد
27582,فیلمی با بازی سلما هایک,رمز زمان
27593,از واکسن‌های ضدکرونا,سینوفارم
27596,شهری در استان اصفهان,خمینی شهر
27606,محل نگهداری سالمندان,آسایشگاه
27612,از گونه های عتیق,یشم
27613,از لبنیات,ماست
27615,گرداننده چرخ صنعت,کارگر
27617,نژاد ایرانیان,آریا
27620,نوعی پرتقال,تو سرخ
27623,اتمسفر,هواکره
27624,سازمان فضایی آمریکا,ناسا
27626,مخفف تو را,ترا
27629,فرمانروای شهر,شهریار
27630,سلاح ویرانگر,بمب
27633,از درختان جنگلی,شاه بلوط
27649,از سبزیجات,گشنیز
27650,دندان‌ها,اسنان
27651,شهری در ایالت نیومکزیکو,راسول
27661,فيلمي از داوود خيام,ماحی
27664,پاکیزگان,اطهار
27665,منحرف,بیراه
27672,بلندی آسمان,عرش
27677,کمربندی که در اتومبیل می ‌بندند,ایمنی
27679,گناهکار,فاسق
27680,مقابل تشنه,سیراب
27681,تمساح پوزه‌ کوتاه,گاندو
27688,خیانت کردن به کسی,نارو زدن
27689,فلاخن,قلاب سنگ
27690,تصور کردن,انگاردن
27691,دالان ورودی خانه‌ های قدیمی,هشتی
27695,نوعی تفنگ,شکاری
27696,نوعی سبک موسیقی,سنتی
27698,از علمای برجسته شیعه سده 4 هجری,شیخ مفید
27700,خمیده و کج و ناراست,معوج
27701,ناشایست و ناجایز,ناروا
27703,کشتی ‌گیر سابق کشورمان با نام کوچک احسان,لشگری
27704,فدراسیون جهانی قایق‌رانی,فیسا
27706,ایجاد بریدگی و زخم کردن,خراشیدن
27708,از پرندگان,سینه سرخ
27715,سیمرغ,سیرنگ
27719,دست زده,بسوده
27722,وزیر طغرل,کندری
27723,از وسایل نقاشان,کاردک
27729,ورزش پهلوانی,کشتی
27735,درجه خلوص بنزين,اکتان
27740,از شهرهای استان کردستان,یاسوکند
27742,جامه ای با خال های برجسته,تگری
27743,تنوره,دودکش
27748,عیب جو و ایرادگیر,خرده گیر
27749,در حال شتاب و تعجیل,هیناهین
27750,اثری از محمود اعتمادزاده,مهره مار
27763,پاافزار ستور,نعل
27767,از بازیگران نهنگ عنبر,رضا ناجی
27768,عنصر شماره 49اتمی,ایندیوم
27769,جانوری از راسته گوشتخواران شبیه سمور به اندازه گربه,موسوره
27777,وقف بودن,وقفیت
27782,مقدار کالری آن در 100 گرم 75 می‌باشد,آلوی زرد
27786,کاخ مشهور انگلستان,سنت جیمز
27789,تنگدستی,عسرت
27795,درآمد و مستمری,عایدی
27803,یگانگی,وحدانیت
27808,نام دیگر عید قربان,عید اضحی
27811,گرد,پودر
27816,داخل کردن,ادراج
27818,لحن بیست و پنجم باربد,مهرگانی
27820,سبز مایل به زرد,زیتونی
27821,شقاوت,بدبختی
27822,محل استراحت,خوابگاه
27825,بلند قدر و مرتبه,رفیع
27832,ماه آخر سال,اسفند
27839,سود و فایده,هوده
27843,جوجه تیغی,خارپشت
27846,غذای‌سنتی فرانسوی,راتاتویی
27851,معلول,عقب افتاده
27856,بازیگر سریال زیر هشت,آرش مجیدی
27858,لطیفه‌ها,هزلیات
27859,فیلمی از وودی‌آلن,آنی هال
27861,جمع شده,مضموم
27864,حرف صریح,رک
27865,رود عراق,دجله
27866,علم سخنوری,ادبیات
27867,تکبر و خودبینی,غرور
27870,تن و کالبد,بدن
27874,چوبدستی,عصا
27878,از ماه های سریانی,ایار
27879,ویران گشتن,انهدام
27880,نقص ها و ایرادها,عیوب
27881,خوب و نیکو,دخ
27882,معطر و عطرآگین,بودار
27884,برد تفنگ,تیررس
27885,ناسپاسی,کفران
27886,عنصر شیمیایی رادیواکتیو,رادون
27887,پرستش خداوند,عبادت
27888,همراه هاج,واج
27889,انسان و آدمی,شخص
27890,پارچه پنبه ای,نخی
27891,اثر دهخدا,لغت نامه
27892,اسمان و فلک,سپهر
27893,اندیشیدن,تدبر
27898,حالتی از ماده,جامد
27900,نوزاد,نینی
27902,زدن و کوبیدن,ضربت
27903,معروف تر,اعرف
27904,تذکر و خاطرنشان,یادآوری
27905,پشت و عقب,ورا
27907,قرابت و خویشی,ولا
27908,به دست آورده شده,مکتسب
27909,نور و روشنی,تابان
27910,مناطق زندگی تمام گیاهان، جانوران و سایر موجودات با شرایط طبیعی محیط در یک منطقه ویژه,زیست بوم
27918,هنر تکه های ریز ریز,معرق
27920,مخلوط غذا و شيره معده,کیموس
27928,سقف خانه,غما
27929,جمع قاری,قرا
27930,در ساعت ۵:۲۶ بامداد روز جمعه ۵ دی ۱۳۸۲ به مدت ۱۲ ثانیه اتفاق افتاد,زلزله بم
27931,میهن و وطن,زادبوم
27932,کم خرد,سبک مغز
27934,واکنش,عکس العمل
27939,کنایه از کار بیهوده کردن,سماق مکیدن
27944,از بیماری‌های آقایان,واریکوسل
27946,از بیماری‌های پوستی,موخوره
27947,کینه توزی,انتقام
27952,پاکیزه تر,اقدس
27956,بی حس,کرخت
27957,مهتر صیادان,میرشکار
27964,آغاز بامداد,صبح
27971,دارويي جهت درمان يبوست,متیل سلولز
27981,از غذاها,مرغ سوخاری
27983,رشته مروارید,هار
27985,رشک,حسد
27986,از نقاشان فرانسوی,پل گوگن
27987,غذا و خوراکی,طعام
27989,دعای صبح جمعه,ندبه
27992,والامقام,صدرا
27993,از حروف لاتین,کیو
27994,گازی بی رنگ و قابل اشتعال,اتیلن
27995,عطا و بخشش,داشاد
27996,خوابیدن,نوم
27997,مقابل ازل,ابد
27999,گرو گذاشتن,رهن
28000,تیزاب آزمایشگاه,اسید
28001,چای خارجی,تی
28002,پوشیده و مخفی,نهفته
28004,پاک کردن,طهور
28006,کشور و مملکت,شار
28007,زمخت و درشت اندام,یغر
28009,از شهرهای سیستان و بلوچستان,کنارک
28010,باکتری میله ای شکل,باسیل
28011,شادی مفرط,بطر
28012,سرشت و طبیعت,نهاد
28015,بسیار خوب,حسان
28017,کامیون,باری
28018,پایتخت روآندا,کیگالی
28019,شتابان,پویان
28020,غذای گیلانی,ترش کباب
28021,فیلمی به کارگردانی درمیشیان,لانتوری
28022,فرو نشستن آتش,انطفا
28024,در سانسکریت نخستین انسانی که مرگ بر او چیره شده,یمه
28025,جیب بر و دزد,طرار
28026,باران زیاد,صل
28027,مادر بزرگ خودمانی,ننه
28029,نام دیگر سبزی تره,گندنا
28030,مخترع ساعت دیواری,هویکنس
28031,کمیاب و نادر,ندر
28032,موبد موبدان آتشکده آذرگشسب,بافرغ
28033,دهان دره,هاک
28034,ولخرج و اسراف کننده,باد دست
28036,سوره قرآن,طه
28039,بالا و پایین رفتن متناوب آب دریا,کشند
28040,دورنگار,فکس
28042,از انبیاء الهی,الیاس
28043,ایالتی در بنگلادش,باریسال
28044,فیلم یا نمایشی که آمیخته ای از صحنه های تفریحی و غم انگیز است,ملودرام
28045,آلودگی و خباثت,پلیدی
28046,کاربر کامپیوتر,اپراتور
28049,پرمدعا و خودستا,پر افاده
28051,فنی در کشتی,پل
28052,نیازها و خواهش ها,حاجات
28053,اندک,جزئی
28056,سیاهی جسم,شبح
28059,چهلمین امپراتوری ژاپن,تمو
28062,ترکش و تیردان,شگا
28069,کشوری که از نظر صنعتی و نظامی از همه کشورها قوی تر باشد,ابر قدرت
28071,مدرک و نوشته,سند
28072,اتوبان,بزرگراه
28073,سپری شدن,انقضا
28074,برخی در خواب می کشند,خرناس
28075,موی نرم,پرز
28076,مخفف داداش,داش
28077,فرزند پسر,ابن
28079,بانگ و فریاد,جار
28080,تور کاهکشی,الرد
28081,پختن,پزش
28082,مخالفت کردن,شقاق
28083,گرد و چاق,تپلی
28086,پرگویی,ور
28087,نقاب زنان ترک,یشماق
28088,درخت انگور,رز
28089,نشاط و سرور,راح
28095,بازدید از رژه,سان
28098,پیکر مرده,جسد
28100,افترا و تهمت,بهتان
28101,هیدروسفر,آب کره
28102,بچه و اولاد,فرزند
28107,بیشه,جنگل
28112,جاده و راه,مسیر
28121,نام گلی زیبا,سوسن
28122,حتمی,قطعی
28126,دستگاه گوارش,هاضمه
28127,اداره دادگستری در قدیم,عدلیه
28141,نوعی وسیله بازی که دارای ماده منفجره ضعیفی است,ترقه
28153,عبادتی که واجب نباشد,نافله
28154,معادل فارسی اسانس,عطر مایه
28159,متصدی و سرپرست,مسئول
28163,هرج‌ومرج و بی‌نظمی,آنارشی
28176,گم شده,مفقود
28182,جای آموزش‌هنر,هنرکده
28183,از اعداد دو رقمی بین ده تا بیست,هجده
28184,سرزنش کردن,نکوهیدن
28185,ابتیاع,خریداری
28198,خنده‌رو,بسیم
28200,دفینه,گنج
28201,زردآلوی شیرین,شکرپاره
28207,از بازیگران سریال خاطره‌انگیز پس از باران,مهوش صبرکن
28210,بیماری چینی,سارس
28216,شهر مدفن ناصرخسرو,یمگان
28217,دروازه کهن تهران,دروازه غار
28223,همیشه,مادام
28224,جمع غنیمت,غنایم
28225,از شهرهای استان‌ کرمان,جیرفت
28227,پایتخت ساموآ,آپیا
28232,استراتژی,راهبرد
28236,محکمه,دادگاه
28238,شاخه‌ای از دریا,تنگه
28246,مرتبه دوم اعداد,دهگان
28248,هم چشمی,رقابت
28249,گوشه نشینی,انزوا
28252,از سیارات منظومه شمسی,زهره
28255,وجه و جهت,بابت
28257,از مهمات جنگی,خمپاره
28259,لجاجت,یک دندگی
28261,از شهرهای استان‌ سمنان,شاهرود
28266,کسی که سربار سایرین شود و به هزینه دیگران روز بگذراند,انگل
28268,خورشید,آفتاب
28270,پراکنده شده,متفرق
28272,دیوارک,پارتیشن
28276,مجموع یک دنباله‌ از گزاره‌ها,سری
28277,نویسنده آلمانی بود که در سال ۱۹۲۹ برنده جایزه نوبل ادبیات شد,مان
28284,اولین فیلم سینمایی رقیه توکلی در مقام کارگردانی,مادری
28285,جدید,نو
28286,هجدهمین حرف از حروف الفبای لاتین,آر
28293,به خدمت بزرگی رسیدن,شرفیابی
28295,ارتباط,پیوستگی
28298,بوی رطوبت,نا
28299,گرد نشستن,قنبرک
28301,حرف توفیر,یا
28303,مرکز خلافت حضرت علی(ع),کوفه
28304,کلاهخود,ترگ
28310,فیلمی به کارگردانی و نویسندگی اسپایک جونز,او
28313,جسمی است که میدان مغناطیسی ایجاد می‌کند,آهن ربا
28315,دریاچه ای در کانادا,گریت بیر
28323,مورخ یونان باستان,هرودت
28324,جامه کهنه و پاره,کزاد
28328,ژرف و گود,عمیق
28330,از پسران حضرت یعقوب(ع),اشیر
28338,جمع جمهور,جماهیر
28340,معادل فارسی ژئولوژیست,زمین شناس
28350,سریالی از ‌محسن شاه‌محمدی,یک مردابی
28352,عنصر شماره 74اتمی,تنگستن
28353,از رودهای استان‌مرکزی,قره‌چای
28355,معادل فارسی پاسیفیسم,صلح جویی
28357,شگون,آمد
28363,بازیگر خانم سریال مرگ تدریجی یک رویا,سامیه لک
28371,خبردار و آگاه,بیداردل
28372,در کتابخانه کار می‌کند,کتابدار
28375,پرنده مقلد,کبک
28376,کالای بسته بندی نشده,فله
28377,از بازیگران فیلم تمرینی برای اجرا,آوا دارویت
28378,برانگیختن؛ وادار کردن,تحریک
28382,کشوری مستقل در شمال شرقی شهر رم,واتیکان
28387,از آثار تاريخي استان قزوين,میمون قلعه
28390,آبادی و روستا,دهکده
28394,ریاکار و منافق,دورو
28395,باغ و گلستان,بستان
28396,روز قرآنی,یوم
28397,سور و مهمانی,جشن
28398,در دل افتادن,الهام
28399,شبی که در آنیم,امشب
28402,اذکار و اوراد,تسبیحات
28405,دیدن,تماشا
28407,شیر خوردنی,لبن
28408,خوراک دام,یونجه
28409,راز و امر پوشیده,سر
28410,نوعی از کباب,شامی
28415,عاجز و ناتوان,درمانده
28419,منسوب به امام‌رضا(ع),رضوی
28429,ابزارک الکترونیکی,گجت
28431,شخص مقتدر و بانفوذ,کله گنده
28432,از گیاهان دارویی,شبدر قرمز
28433,از ابزار باغبانی,چنگک
28438,زراعت شده,کاشته
28441,چشمه‌اى در بهشت,تسنیم
28443,ابزار بریدن چرم,گزن
28444,مجازاً زورگو و نیرومند,گردن کلفت
28447,اثر تاریخی شهر بستک,قلعه سیبه
28454,خوش‌طبع,لوده
28457,جزيره ايتاليا,ساردنی
28463,تریاق,پادزهر
28478,یک‌خوراک فرانسوی,راگو
28490,میدان قدیمی‌ رشت,سبزه میدان
28495,نماینده حقوقی,وکیل
28507,تر و تازگي خرما,تمعد
28519,عکس العمل,واکنش
28520,کشوری در اروپا,مونته‌نگرو
28522,مرام,مسلک
28524,خودم، اینجانب,من
28527,ضربه سر در فوتبال، ضربه سر در فوتبال,هد
28530,کفش چوبی,سندل
28534,نوعی گیاه علوفه,یولاف
28544,جایگاه مخصوص که پادشاهان بر آن می‌نشینند,تخت
28552,حرمسرای قصر,اندرونی
28555,مقابل بردن,آوردن
28561,شکست خوردن در بازی,باختن
28567,پرآب ترین رود ایران,کارون
28569,آسمانی,سمایی
28570,خوار و سبک شمردن,استخفاف
28571,اثر تاریخی تهران,کاخ مرمر
28584,از گیاهان دارویی,افسنطین
28587,پلکان چوبی,نردبان
28588,نوعی سبک معماری,ساسانی
28597,نسخه دست نویس,خطی
28599,از اساطیر یونانی,آدونیس
28600,ازمیان رفتگی و ساییدگی,فرسایش
28601,آرایش,زینت
28602,اثر دیدنی لردگان,چشمه برم
28607,دلداده,عاشق
28609,چپ دست,اخلف
28620,ماه بازگشایی مدارس,مهر
28621,از گزارشگران ورزشي سيما,خیابانی
28622,نوعی حالت نشستن,چهار زانو
28625,دروغ گفتن,خالی بندی
28626,بوی خوب زیر شکم آهو,مشک
28627,جدا کردن وکندن,سلب
28628,دچار گشتن,ابتلا
28629,معروفتر,اعرف
28636,گرفته شده از چیزی,مشتق
28637,محافظت و حراست,نگاهداری
28638,کم خرد,ناقص عقل
28639,سپاهیگری,سربازی
28644,شاخه ای از ریاضی,آمار
28645,قضا,سرنوشت
28646,کنایه زدن,طعنه زدن
28647,زنان,نسوان
28648,گندم سوده,آرد
28649,توانگری,وسع
28650,مزارها,قبور
28652,از روی راستی,صادقانه
28654,تابستان عرب,تموز
28655,نام  مجنون,قیس
28657,جعبه مقوایی,کارتن
28660,شایسته,قابل
28663,گیرنده ‌امواج رادیویی,آنتن
28667,نام قدیم اتریش,نمسه
28671,از فیلم‌های آلفرد هیچکاک,ربکا
28674,پیشی گرفتن,سبقت
28675,دستمال گردن,کراوات
28676,اغتشاش,ناامنی
28677,گویش,لهجه
28682,واحد پول فنلاند,مارکا
28686,نمونه کوچکی از خانه یا ساختمان,ماکت
28688,مشهور و سرشناس,زبان زد
28690,از شهرهای استان مرکزی,غرق آباد
28697,سرما خوردگی,زکام
28698,ماشین پنبه پاک کنی,جین
28699,وزیدن,وزش
28708,بسیار سخن چین,غماز
28709,دلربایی و زیبایی,جذابیت
28711,نام قدیم میانمار,برمه
28713,تنه درخت,کنده
28721,سریالی از سیروس مقدم,زیر هشت
28722,از گیاهان دارویی,دارواش
28725,جریب,اکر
28730,علی ای....رحمت,همای
28731,ممنوع را گویند,غدغن
28743,طبل بزرگ,کوس
28745,دبستان را گویند,ادب خانه
28746,کارگردان مستندساز آمریکایی,مایکل مور
28754,از نام‌های مبارک امام دوازدهم(عج),مهدی
28760,استانی در ایران,کرمانشاه
28762,خاندان بنی امیه,اموی
28763,به شیوه مهرآمیز و صمیمی,برادرانه
28764,شادروان,آمرزیده
28767,بی پرده و صریح,آشکارا
28770,جاودانگی,ابدیت
28781,بی نظم,نابسامان
28782,دیده بانی کردن,مراقبت
28790,بشقاب بزرگ مقعر,دوری
28791,بخشی از خانه,انباری
28792,رشته‌کوهی در کشورمان,هزارمسجد
28794,خدای نور یونان باستان,آپولو
28796,باد سخت,عاصف
28798,شوخی نیست,جدی
28800,آفتاب گردان,ورتاج
28801,بالیدن,فخر
28805,خاموش!,هیس
28807,کود پر مصرف,اوره
28809,حامی,پناه
28810,آسیب,گزند
28811,نظر,دید
28812,صورتحساب,سیاهه
28813,شگفت انگیز,اعجوبه
28814,سپیدار,پد
28815,واسطه حل اختلاف شدن,پادرمیانی
28816,نصیحت,وصیت
28817,سیاهی شهر,سواد
28818,در هم پیچیدن,لف
28819,غذای بیمار,آش
28821,زن کلانسال,عجوزه
28823,اندازه و بلندی,قد
28824,پسوند حاصل مصدر,گی
28827,جاهلانه,نابخردانه
28828,بگوی عرب,قل
28831,فیلمی به کارگردانیِ کلارنس براون,اما
28832,نماد شب کریسمس,درخت کاج
28834,ناپدید شدن,غیاب
28838,از شهرهای افغانستان,اناردره
28843,نظر و عقیده,رای
28846,مردگان,اهل قبور
28850,سنگدلی,قساوت
28851,از شهرهای استان آذربایجان غربی,بوکان
28853,مجموعه شعر طنزی از ابوالفضل زرویی نصرآباد,رفوزه‌ها
28856,اثری از نیمایوشیج,مانلی
28861,نوعی نوشیدنی,دلستر
28864,یک گورستان نظامی به مساحت ۴۴ هکتار  در شهر ایروان کشور ارمنستان,یرابلور
28869,آپارتمان,کاشانه
28870,قیمت,ارزش
28872,سیاهی چشم,شبح
28873,حوض,آبدان
28874,یار آفتابه,لگن
28875,گاز گندزدا,کلر
28877,زرنگ و چالاک,زبل
28880,واحد طول سنتی,وجب
28881,اسوه,نمونه
28882,طاهر و طیب,پاک
28883,واحد پول ارمنستان,درام
28884,اندوهگین شدن,تاثر
28885,درخشان,نورانی
28886,فرمان خودرو,رل
28887,از نو برانگیختن,واشوراندن
28888,در بزرگ,درب
28889,منطقه و ناحیه,قلمرو
28890,سیاره کیوان,زحل
28891,فریاد شدید,هوار
28895,متراکم,انبوه
28896,شاخه ها,شعب
28900,مراقب,بپا
28901,وسیله اندازه گیری زاویه,نقاله
28902,علامت و نشان,اثر
28903,شیمیدان فرانسوی برنده نوبل 1903 شیمی,هانری بکرل
28910,خام را پخته می‌کند,سفر
28911,رای موافق دادن مجلس یا هیأت وزیران به لایحه‌ای,تصویب
28912,سهل انگاری کردن,اهمال
